epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1451.49,0.77704,0.56787,1.17527,0.94218,0.88433,0.93235,0.74214,0.86011,0.52538,1.32459,0.000679204,0.000679204,0.000679204
55,1478.2,0.79602,0.55507,1.19141,0.9461,0.89847,0.94517,0.76066,0.83356,0.49326,1.31374,0.000665057,0.000665057,0.000665057
56,1504.77,0.77408,0.58223,1.17658,0.96183,0.90228,0.94967,0.76561,0.82345,0.47488,1.29939,0.000650909,0.000650909,0.000650909
57,1531.53,0.76954,0.55514,1.17692,0.94485,0.91719,0.94435,0.75646,0.85351,0.48885,1.32149,0.000636762,0.000636762,0.000636762
58,1558.55,0.77266,0.54136,1.15898,0.95159,0.89241,0.94289,0.75984,0.85532,0.49376,1.35083,0.000622615,0.000622615,0.000622615
59,1585.3,0.76033,0.53534,1.16973,0.93181,0.89817,0.94417,0.74453,0.89002,0.51915,1.35418,0.000608468,0.000608468,0.000608468
60,1611.91,0.7799,0.55554,1.17591,0.95215,0.90584,0.94277,0.76084,0.83582,0.48925,1.32239,0.000594321,0.000594321,0.000594321
61,1638.35,0.7608,0.53766,1.17153,0.93497,0.92349,0.94227,0.75752,0.83981,0.49606,1.31515,0.000580174,0.000580174,0.000580174
62,1665.14,0.73235,0.51542,1.14616,0.93688,0.90977,0.93692,0.75981,0.84119,0.49202,1.3298,0.000566027,0.000566027,0.000566027
63,1691.64,0.75608,0.53083,1.16599,0.96165,0.906,0.95201,0.7665,0.85291,0.48598,1.34435,0.00055188,0.00055188,0.00055188
64,1718.29,0.73154,0.51033,1.15476,0.9414,0.90279,0.94287,0.75913,0.84279,0.49234,1.32733,0.000537733,0.000537733,0.000537733
65,1744.64,0.72934,0.53426,1.15716,0.945,0.89715,0.95346,0.76597,0.85563,0.47357,1.33724,0.000523586,0.000523586,0.000523586
66,1771.25,0.72602,0.52261,1.15034,0.9471,0.8912,0.94309,0.7539,0.8736,0.49765,1.36003,0.000509438,0.000509438,0.000509438
67,1797.73,0.71159,0.50229,1.13491,0.9422,0.91325,0.94351,0.76285,0.84112,0.47319,1.32419,0.000495291,0.000495291,0.000495291
68,1824.31,0.71221,0.50445,1.14333,0.92814,0.93793,0.95738,0.77041,0.83845,0.45044,1.33073,0.000481144,0.000481144,0.000481144
69,1852.5,0.69477,0.48484,1.12303,0.93313,0.92681,0.95233,0.76781,0.85014,0.46951,1.33224,0.000466997,0.000466997,0.000466997
70,1896.22,0.70926,0.504,1.14322,0.92961,0.91935,0.94538,0.75924,0.84467,0.47052,1.34268,0.00045285,0.00045285,0.00045285
71,1936.71,0.68647,0.48153,1.11148,0.95234,0.88998,0.94782,0.77277,0.82346,0.45348,1.32514,0.000438703,0.000438703,0.000438703
72,1983.42,0.69437,0.48028,1.11663,0.96079,0.90636,0.94619,0.7666,0.84591,0.46841,1.35394,0.000424556,0.000424556,0.000424556
73,2024.37,0.68653,0.47073,1.11962,0.94924,0.8913,0.94352,0.76761,0.84133,0.484,1.33614,0.000410409,0.000410409,0.000410409
74,2060.89,0.6758,0.45855,1.11234,0.94045,0.90657,0.94982,0.76718,0.83732,0.45691,1.34398,0.000396262,0.000396262,0.000396262
75,2101.63,0.69052,0.47022,1.127,0.946,0.90256,0.94621,0.77282,0.81511,0.47371,1.31562,0.000382115,0.000382115,0.000382115
76,2128.22,0.6903,0.45506,1.10995,0.94964,0.90347,0.9482,0.76852,0.83388,0.46124,1.33364,0.000367967,0.000367967,0.000367967
77,2155.08,0.68195,0.45969,1.11368,0.96054,0.90599,0.95197,0.77034,0.83764,0.45052,1.33389,0.00035382,0.00035382,0.00035382
78,2181.88,0.66316,0.43022,1.0976,0.94917,0.92585,0.9545,0.77738,0.82656,0.44279,1.32708,0.000339673,0.000339673,0.000339673
79,2208.74,0.65531,0.44548,1.1005,0.9399,0.92962,0.95892,0.77764,0.84825,0.43217,1.35662,0.000325526,0.000325526,0.000325526
80,2251.54,0.65006,0.44371,1.08962,0.95406,0.92064,0.95248,0.76794,0.84987,0.43614,1.36691,0.000311379,0.000311379,0.000311379
81,2298.21,0.65939,0.44864,1.10487,0.95219,0.92795,0.94933,0.75881,0.86749,0.44141,1.39988,0.000297232,0.000297232,0.000297232
82,2339.21,0.6488,0.43162,1.08633,0.94572,0.91729,0.94854,0.77459,0.83459,0.44259,1.34925,0.000283085,0.000283085,0.000283085
83,2375.02,0.65339,0.44009,1.10145,0.93657,0.92637,0.94816,0.76699,0.8339,0.43064,1.34993,0.000268938,0.000268938,0.000268938
84,2417.57,0.62627,0.42818,1.07256,0.9367,0.91672,0.95054,0.77518,0.8322,0.45038,1.3364,0.000254791,0.000254791,0.000254791
85,2451.85,0.62997,0.43607,1.08945,0.94155,0.92166,0.95092,0.77923,0.82252,0.43739,1.34397,0.000240644,0.000240644,0.000240644
86,2484.33,0.61668,0.40704,1.06677,0.94996,0.91926,0.95412,0.77915,0.8335,0.43171,1.35658,0.000226497,0.000226497,0.000226497
87,2515.06,0.60424,0.40702,1.05505,0.94565,0.92624,0.94746,0.77509,0.8283,0.44535,1.36645,0.000212349,0.000212349,0.000212349
88,2547.28,0.60705,0.40275,1.05879,0.95557,0.91988,0.95713,0.7788,0.8344,0.44419,1.37187,0.000198202,0.000198202,0.000198202
89,2582.32,0.6006,0.40493,1.05114,0.9667,0.903,0.95337,0.77328,0.82678,0.43498,1.37196,0.000184055,0.000184055,0.000184055
90,2629.06,0.61086,0.41359,1.07709,0.96159,0.91422,0.95358,0.77293,0.84173,0.42458,1.37841,0.000169908,0.000169908,0.000169908
91,2699.38,0.52863,0.27139,1.02709,0.94859,0.92593,0.94965,0.77367,0.82847,0.44177,1.36306,0.000155761,0.000155761,0.000155761
92,2746.93,0.50132,0.25906,1.01344,0.94035,0.93081,0.9536,0.77657,0.8257,0.434,1.3529,0.000141614,0.000141614,0.000141614
93,2794.62,0.50097,0.25167,1.0161,0.93999,0.92657,0.95071,0.77307,0.84139,0.43461,1.37171,0.000127467,0.000127467,0.000127467
94,2841.37,0.48724,0.244,1.00572,0.95043,0.92551,0.95584,0.78131,0.83468,0.42449,1.37901,0.00011332,0.00011332,0.00011332
95,2888.31,0.48564,0.24912,0.98961,0.94559,0.92841,0.9608,0.78702,0.81547,0.42732,1.35556,9.91726e-05,9.91726e-05,9.91726e-05
96,2916.22,0.48489,0.24452,0.99954,0.95636,0.92518,0.95894,0.78636,0.82017,0.42285,1.35676,8.50255e-05,8.50255e-05,8.50255e-05
97,2952.15,0.47904,0.24163,0.99107,0.9643,0.90909,0.9564,0.78523,0.82901,0.41993,1.3739,7.08784e-05,7.08784e-05,7.08784e-05
98,2999.4,0.46464,0.23483,0.9897,0.96172,0.91581,0.95857,0.78846,0.8252,0.42562,1.36404,5.67313e-05,5.67313e-05,5.67313e-05
99,3043.75,0.47124,0.23906,0.98246,0.9603,0.91975,0.95896,0.78791,0.83076,0.4207,1.37019,4.25842e-05,4.25842e-05,4.25842e-05
100,3085.47,0.46022,0.23284,0.98007,0.96581,0.91672,0.95811,0.78971,0.81961,0.4168,1.36263,2.84371e-05,2.84371e-05,2.84371e-05
